Task,Date_Time,Minutes,Seconds,Milliseconds, Error,
Task 3,25/02/2025 10:34,0,47,530,,
Task 3,25/02/2025 14:27,0,38,141,,
Task 3,25/02/2025 15:16,1,40,979,,
Task 3,25/02/2025 17:18,0,35,509,,
Task 3,25/02/2025 18:04,0,37,397,,
Task 3,26/02/2025 19:01,0,38,710,,
Task 3,27/02/2025 12:07,0,46,991,,
Task 3,27/02/2025 14:46,0,57,74,,
Task 3,27/02/2025 18:02,0,37,728,,
Task 3,27/02/2025 20:36,0,35,769,,
Task 3,27/02/2025 21:32,0,54,900,,
Task 3,28/02/2025 09:19,0,38,635,,
Task 3,28/02/2025 10:14,0,36,938,,
Task 3,28/02/2025 10:57,0,37,585,,
Task 3,28/02/2025 12:19,0,38,130,,
Task 3,28/02/2025 12:51,0,39,304,,
Task 3,28/02/2025 13:26,0,44,57,,
Task 3,28/02/2025 16:26,0,39,834,,
Task 3,28/02/2025 18:17,0,35,86,,
Task 3,28/02/2025 18:40,0,39,717,,
Task 3,28/02/2025 19:08,0,38,38,,
,,,,,,  
