Task,Date_Time,Minutes,Seconds,Milliseconds, Error
Task 5,25/02/2025 10:47,0,31,31,
Task 5,25/02/2025 14:35,0,26,380,
Task 5,25/02/2025 15:41,0,26,518,
Task 5,25/02/2025 17:04,0,38,17,
Task 5,25/02/2025 17:49,0,43,914,
Task 5,26/02/2025 19:07,0,25,328,
Task 5,27/02/2025 12:19,0,34,559,
Task 5,27/02/2025 14:59,0,30,742,
Task 5,27/02/2025 17:47,0,18,935,
Task 5,27/02/2025 20:18,0,36,798,
Task 5,27/02/2025 21:41,0,29,722,
Task 5,28/02/2025 09:28,0,26,528,
Task 5,28/02/2025 10:23,0,28,79,
Task 5,28/02/2025 10:46,0,28,442,
Task 5,28/02/2025 12:02,0,36,844,
Task 5,28/02/2025 13:00,0,27,401,
Task 5,28/02/2025 13:33,0,25,43,
Task 5,28/02/2025 16:40,0,28,821,
Task 5,28/02/2025 18:04,0,33,359,
Task 5,28/02/2025 18:32,0,35,461,
Task 5,28/02/2025 19:13,0,25,903,
