Timestamp, Task 2 Error Time,Minutes,Seconds,Milliseconds
Task 2 error time,25/02/2025 14:21,0,6,133
Task 2 error time,25/02/2025 17:11,0,5,786
Task 2 error time,25/02/2025 17:58,0,4,543
Task 2 error time,26/02/2025 18:56,0,7,657
Task 2 error time,27/02/2025 11:54,0,17,455
Task 2 error time,27/02/2025 15:07,0,11,141
Task 2 error time,27/02/2025 17:56,0,10,59
Task 2 error time,27/02/2025 20:29,0,10,598
Task 2 error time,27/02/2025 21:26,0,18,492
Task 2 error time,28/02/2025 09:11,0,18,105
Task 2 error time,28/02/2025 10:30,0,3,669
Task 2 error time,28/02/2025 10:52,0,23,937
Task 2 error time,28/02/2025 12:12,0,18,97
Task 2 error time,28/02/2025 13:18,0,37,952
Task 2 error time,28/02/2025 16:49,0,4,274
Task 2 error time,28/02/2025 18:12,0,4,848
Task 2 error time,28/02/2025 18:37,0,17,462
Task 2 error time,28/02/2025 19:05,0,9,22
