Timestamp, Task 4 Error Time,,,
Task 4 error time,25/02/2025 10:40,0,9,766
Task 4 error time,25/02/2025 14:31,0,16,980
Task 4 error time,25/02/2025 15:25,0,4,769
Task 4 error time,25/02/2025 16:54,0,5,976
Task 4 error time,25/02/2025 18:07,0,6,575
Task 4 error time,26/02/2025 19:04,0,4,771
Task 4 error time,27/02/2025 12:13,0,17,983
Task 4 error time,27/02/2025 14:52,0,36,910
Task 4 error time,27/02/2025 17:41,0,16,501
Task 4 error time,27/02/2025 20:40,0,11,897
Task 4 error time,27/02/2025 21:36,0,7,192
Task 4 error time,28/02/2025 09:24,0,7,138
Task 4 error time,28/02/2025 10:19,0,3,506
Task 4 error time,28/02/2025 10:40,0,35,898
Task 4 error time,28/02/2025 12:25,0,5,307
Task 4 error time,28/02/2025 13:29,0,11,435
Task 4 error time,28/02/2025 16:34,0,8,567
Task 4 error time,28/02/2025 17:56,0,17,691
Task 4 error time,28/02/2025 18:42,0,6,119
Task 4 error time,28/02/2025 19:10,0,7,79
